nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
4,128,256,true,0.027262976,110.45453138649464,0.013631584,0.00681584,14,15,13,2,66.45453138649464
4,256,4096,false,0.4718592,671.8311924487352,0.463470688,0.0,15,266,0,0,390.83119244873524
16,128,512,true,0.081788928,208.41458812355995,0.054526048,0.013631584,18,40,20,3,127.41458812355995
1,256,256,true,0.027262976,111.96388863027096,0.00681584,0.00681584,13,16,13,2,67.96388863027096
32,128,512,false,0.551550976,775.9073097258806,0.545259616,0.0,20,321,0,0,434.9073097258806
32,256,16384,false,14.19771904,19497.059723362327,14.176747616,0.0,19,19170,0,0,308.0597233623266
64,256,16384,true,0.903872512,1363.1787244230509,0.436207712,0.436207712,23,265,275,6,794.1787244230509
32,256,512,true,0.266338304,437.3245220631361,0.218103904,0.013631584,19,128,21,4,265.3245220631361
32,128,16384,true,0.572522496,956.0704324394464,0.109052,0.436207712,17,77,292,4,566.0704324394464
4,256,128,true,0.04194304,111.88170872628689,0.027263072,0.003407968,14,24,13,2,58.88170872628689
8,128,64,true,0.035651584,111.64299212396145,0.027263072,0.001704032,15,22,10,2,62.64299212396145
8,256,4096,false,0.93323264,863.1171938031912,0.92694128,0.0,13,580,0,0,270.1171938031912
16,256,64,false,0.144703488,248.81388992071152,0.136314976,0.0,17,86,0,0,145.81388992071152
128,128,4096,false,14.443085824,19156.887214630842,14.394851424,0.0,66,19074,0,0,16.88721463084221
128,256,128,true,0.920649728,1367.1298697590828,0.872415328,0.003407968,57,524,15,9,762.1298697590828
64,128,128,false,0.444596224,664.4064001739025,0.436207712,0.0,32,256,0,0,376.4064001739025
128,256,512,false,2.665480192,3591.377390548587,2.617245792,0.0,64,1533,0,0,1994.3773905485868
16,128,2048,false,0.93323264,1276.816613972187,0.92694128,0.0,16,540,0,0,720.816613972187
32,128,64,true,0.117440512,255.2348840981722,0.109052,0.001704032,19,77,12,4,143.2348840981722
8,256,128,true,0.081788928,159.52514484524727,0.054526048,0.003407968,15,39,13,3,89.52514484524727
1,256,512,true,0.027262976,117.81943030655384,0.00681584,0.013631584,14,15,19,2,67.81943030655384
8,128,1024,true,0.065011712,164.88268971443176,0.027263072,0.027263072,16,20,32,3,93.88268971443176
32,256,128,false,0.333447168,491.656931117177,0.327155808,0.0,20,192,0,0,279.656931117177
128,128,1024,false,3.97410304,5317.254289984703,3.92586864,0.0,64,4954,0,0,299.25428998470306
64,256,128,false,0.662700032,950.3616392612457,0.65431152,0.0,32,386,0,0,532.3616392612457
16,256,256,false,0.224395264,342.1587869524956,0.218103904,0.0,16,124,0,0,202.15878695249557
32,128,16384,false,14.088667136,19312.735460698605,14.067695712,0.0,20,19122,0,0,170.73546069860458
64,256,256,false,0.88080384,1241.208454594016,0.872415328,0.0,35,528,0,0,678.2084545940161
16,128,2048,true,0.11534336,252.69183330237863,0.054526048,0.054526048,15,34,53,3,147.69183330237863
8,128,4096,true,0.144703488,297.1559762954712,0.027263072,0.109052,16,19,83,3,176.1559762954712
64,128,1024,true,0.278921216,447.65494763851166,0.218103904,0.027263072,22,128,36,5,256.65494763851166
128,256,128,false,1.356857344,1883.7201222777367,1.308622944,0.0,61,769,0,0,1053.7201222777367
1,256,64,false,0.027262976,73.93852807581425,0.008519776,0.0,14,20,0,0,39.93852807581425
1,128,128,true,0.027262976,108.1863883882761,0.003407968,0.003407968,13,10,14,2,69.1863883882761
128,128,512,false,2.229272576,3037.689197808504,2.181038176,0.0,65,1279,0,0,1693.689197808504
8,256,256,false,0.11534336,173.62792044878006,0.109052,0.0,15,68,0,0,90.62792044878006
1,256,2048,true,0.081788928,199.3956882506609,0.00681584,0.054526048,14,16,55,2,112.3956882506609
4,256,8192,false,0.908066816,1270.108474418521,0.899678304,0.0,15,537,0,0,718.1084744185209
128,256,4096,true,1.029701632,1698.7980250269175,0.872415328,0.109052,42,518,191,8,939.7980250269175
32,256,256,true,0.266338304,402.15245448052883,0.218103904,0.00681584,19,131,15,4,233.15245448052883
64,128,8192,false,14.199816192,19443.907951936126,14.176747616,0.0,34,19157,0,0,252.90795193612576
64,256,1024,false,2.189426688,2990.258987993002,2.181038176,0.0,31,1297,0,0,1662.258987993002
128,256,8192,false,28.86729728,39497.12838977575,28.789702752,0.0,65,38507,0,0,925.128389775753
128,256,1024,false,4.410310656,5920.283338055015,4.362076256,0.0,62,5206,0,0,652.2833380550146
8,128,2048,false,0.4718592,667.5175204873085,0.463470688,0.0,15,268,0,0,384.5175204873085
8,256,16384,true,0.497025024,803.5252243280411,0.054526048,0.436207712,14,30,272,3,484.5252243280411
128,256,256,true,0.920649728,1365.9529574215412,0.872415328,0.00681584,57,519,21,9,759.9529574215412
32,256,16384,true,0.6815744,1042.9361090064049,0.218103904,0.436207712,17,141,265,4,615.9361090064049
8,128,2048,true,0.090177536,203.9683237671852,0.027263072,0.054526048,14,19,54,3,113.96832376718521
4,256,2048,true,0.090177536,208.5774950683117,0.027263072,0.054526048,15,21,54,2,116.57749506831169
1,128,1024,true,0.056623104,118.53237636387348,0.003407968,0.027263072,13,11,31,2,61.53237636387348
64,256,2048,false,3.934257152,5258.955033496022,3.92586864,0.0,33,4960,0,0,265.9550334960222
32,256,2048,true,0.299892736,488.71188424527645,0.218103904,0.054526048,18,125,55,4,286.71188424527645
8,256,1024,false,0.278921216,433.6706269532442,0.272629856,0.0,16,157,0,0,260.6706269532442
32,128,1024,true,0.165675008,295.6818975508213,0.109052,0.027263072,19,67,33,4,172.6818975508213
16,256,128,true,0.13631488,244.32266131043437,0.109052,0.003407968,17,71,14,3,139.32266131043437
8,128,256,true,0.04194304,114.22669515013695,0.027263072,0.00681584,14,22,13,2,63.22669515013695
128,256,256,false,1.79306496,2439.855048432946,1.74483056,0.0,62,1015,0,0,1362.8550484329462
4,128,16384,false,1.788870656,2446.1881071329117,1.758462048,0.0,14,1059,0,0,1373.1881071329117
4,256,512,false,0.090177536,161.18772327899933,0.081789024,0.0,15,55,0,0,91.18772327899933
8,128,8192,true,0.253755392,442.52763502299786,0.027263072,0.218103904,15,19,144,3,261.52763502299786
16,128,128,true,0.081788928,160.33480875194073,0.054526048,0.003407968,16,39,13,3,89.33480875194073
8,128,8192,false,1.801453568,2485.6262374669313,1.772093536,0.0,15,1071,0,0,1399.6262374669313
16,256,2048,false,0.987758592,1337.981978431344,0.981467232,0.0,18,589,0,0,730.981978431344
8,128,128,true,0.04194304,119.95294131338596,0.027263072,0.003407968,15,22,14,2,66.95294131338596
1,128,4096,true,0.13631488,253.17045859992507,0.003407968,0.109052,13,11,81,2,146.17045859992507
64,128,64,true,0.23068672,403.07232178747654,0.218103904,0.001704032,29,135,11,6,222.07232178747654
16,128,1024,false,0.497025024,678.8936443626881,0.490733664,0.0,17,285,0,0,376.89364436268806
128,256,1024,true,0.935329792,1453.4564036875963,0.872415328,0.027263072,44,518,59,9,823.4564036875963
64,128,4096,true,0.358612992,591.0551827400923,0.218103904,0.109052,23,131,85,6,346.0551827400923
128,256,8192,true,1.138753536,2120.8703704178333,0.872415328,0.218103904,43,523,407,9,1138.8703704178333
16,128,64,false,0.090177536,159.39591452479362,0.081789024,0.0,16,56,0,0,87.39591452479362
64,256,128,true,0.467664896,709.7877934575081,0.436207712,0.003407968,31,253,13,5,407.7877934575081
32,256,4096,true,0.354418688,562.2092820703983,0.218103904,0.109052,17,126,83,4,332.20928207039833
128,256,2048,false,7.899971584,10515.461694449186,7.851737184,0.0,65,9832,0,0,618.4616944491863
16,128,64,true,0.06291456,160.08222475647926,0.054526048,0.001704032,16,41,10,3,90.08222475647926
4,128,64,true,0.027262976,108.87504555284977,0.013631584,0.001704032,15,16,11,2,64.87504555284977
128,256,64,true,0.920649728,613.4545430541039,0.872415328,0.001704032,57,532,10,7,7.454543054103851
1,256,256,false,0.027262976,106.60135187208652,0.013631584,0.0,15,28,0,0,63.601351872086525
16,128,4096,true,0.169869312,311.74284406006336,0.054526048,0.109052,15,34,82,3,177.74284406006336
16,128,8192,true,0.278921216,485.1754195988178,0.054526048,0.218103904,15,32,141,3,294.1754195988178
1,256,1024,true,0.056623104,153.2827690243721,0.00681584,0.027263072,14,17,32,2,88.2827690243721
128,128,256,false,1.356857344,1880.6641642004251,1.308622944,0.0,59,773,0,0,1048.6641642004251
32,256,8192,false,7.22468864,9895.063256844878,7.19742576,0.0,19,9627,0,0,249.0632568448782
8,128,1024,false,0.253755392,387.6653406769037,0.24536688,0.0,15,141,0,0,231.66534067690372
64,128,1024,false,1.97132288,2592.3191010951996,1.962934368,0.0,28,1130,0,0,1434.3191010951996
1,128,16384,false,0.446693376,665.705306455493,0.439615584,0.0,14,256,0,0,395.705306455493
4,128,8192,true,0.245366784,435.71412563323975,0.013631584,0.218103904,15,13,143,2,262.71412563323975
1,128,16384,true,0.463470592,735.8831074088812,0.003407968,0.436207712,14,11,266,2,442.8831074088812
16,256,4096,false,1.860173824,2526.535289362073,1.853882464,0.0,17,1092,0,0,1417.535289362073
128,128,16384,true,0.920649728,2244.1259678453207,0.436207712,0.436207712,41,252,761,9,1181.1259678453207
128,128,512,true,0.484442112,811.6162661463022,0.436207712,0.013631584,53,252,36,9,461.6162661463022
4,256,256,true,0.04194304,117.95534752309322,0.027263072,0.00681584,15,26,13,3,60.955347523093224
128,256,512,true,0.920649728,1376.6758143901825,0.872415328,0.013631584,54,521,33,9,759.6758143901825
4,128,128,true,0.027262976,113.40545490384102,0.013631584,0.003407968,15,15,14,2,67.40545490384102
8,256,64,true,0.060817408,161.75146214663982,0.054526048,0.001704032,15,43,11,3,89.75146214663982
1,256,1024,false,0.044040192,108.62666182219982,0.034078816,0.0,14,33,0,0,61.62666182219982
4,256,64,false,0.044040192,80.56380786001682,0.034078816,0.0,15,28,0,0,37.56380786001682
32,256,4096,false,3.714056192,4987.769844010472,3.707764832,0.0,19,4850,0,0,118.7698440104723
4,256,16384,false,1.801453568,2481.533419340849,1.772093536,0.0,14,1068,0,0,1399.533419340849
64,256,8192,true,0.685768704,1047.754306346178,0.436207712,0.218103904,23,270,145,6,603.754306346178
64,128,8192,true,0.467664896,762.74698600173,0.218103904,0.218103904,23,132,146,6,455.74698600172997
16,128,256,true,0.081788928,168.5867551714182,0.054526048,0.00681584,17,42,14,3,92.58675517141819
4,256,128,false,0.048234496,108.83348993957043,0.04089456,0.0,15,32,0,0,61.83348993957043
128,128,64,true,0.484442112,768.419960513711,0.436207712,0.001704032,59,252,12,9,436.419960513711
32,128,8192,true,0.354418688,579.9391213804483,0.109052,0.218103904,17,69,142,4,347.93912138044834
128,128,2048,true,0.538968064,959.0468090027571,0.436207712,0.054526048,42,252,98,8,559.0468090027571
128,128,1024,true,0.499122176,870.7768563181162,0.436207712,0.027263072,47,257,59,9,498.7768563181162
64,256,4096,false,7.42391808,9914.25166837871,7.415529568,0.0,36,9680,0,0,198.25166837871075
1,256,16384,false,0.45088768,639.9192661046982,0.443023456,0.0,13,253,0,0,373.9192661046982
8,128,64,false,0.048234496,108.6177583783865,0.04089456,0.0,16,30,0,0,62.6177583783865
8,128,256,false,0.090177536,163.43059949576855,0.081789024,0.0,17,54,0,0,92.43059949576855
